2013-01-01,3794
2013-02-01,3863
2013-03-01,5190
2013-04-01,5783
2013-05-01,6298
2013-06-01,6739
2013-07-01,7107
2013-08-01,6492
2013-09-01,5693
2013-10-01,5497
2013-11-01,5958
2013-12-01,4309
2014-01-01,4323
2014-02-01,4391
2014-03-01,5860
2014-04-01,6552
2014-05-01,7370
2014-06-01,7888
2014-07-01,8330
2014-08-01,7401
2014-09-01,6599
2014-10-01,6411
2014-11-01,6742
2014-12-01,4910
2015-01-01,4626
2015-02-01,4633
2015-03-01,6121
2015-04-01,7060
2015-05-01,7758
2015-06-01,7992
2015-07-01,8838
2015-08-01,7770
2015-09-01,7011
2015-10-01,6644
2015-11-01,7102
2015-12-01,4952
2016-01-01,5008
2016-02-01,5160
2016-03-01,6624
2016-04-01,7697
2016-05-01,8240
2016-06-01,8851
2016-07-01,9758
2016-08-01,8176
2016-09-01,7467
2016-10-01,7231
2016-11-01,7334
2016-12-01,5678
2017-01-01,5236
2017-02-01,5299
2017-03-01,6744
2017-04-01,7927
2017-05-01,8561
2017-06-01,8930
2017-07-01,9960
2017-08-01,8548
2017-09-01,7843
2017-10-01,7620
2017-11-01,7676
2017-12-01,5809
