"Sex","Bwt","Hwt"
"F",2,7
"F",2,7.4
"F",2,9.5
"F",2.1,7.2
"F",2.1,7.3
"F",2.1,7.6
"F",2.1,8.1
"F",2.1,8.2
"F",2.1,8.3
"F",2.1,8.5
"F",2.1,8.7
"F",2.1,9.8
"F",2.2,7.1
"F",2.2,8.7
"F",2.2,9.1
"F",2.2,9.7
"F",2.2,10.9
"F",2.2,11
"F",2.3,7.3
"F",2.3,7.9
"F",2.3,8.4
"F",2.3,9
"F",2.3,9
"F",2.3,9.5
"F",2.3,9.6
"F",2.3,9.7
"F",2.3,10.1
"F",2.3,10.1
"F",2.3,10.6
"F",2.3,11.2
"F",2.4,6.3
"F",2.4,8.7
"F",2.4,8.8
"F",2.4,10.2
"F",2.5,9
"F",2.5,10.9
"F",2.6,8.7
"F",2.6,10.1
"F",2.6,10.1
"F",2.7,8.5
"F",2.7,10.2
"F",2.7,10.8
"F",2.9,9.9
"F",2.9,10.1
"F",2.9,10.1
"F",3,10.6
"F",3,13
"M",2,6.5
"M",2,6.5
"M",2.1,10.1
"M",2.2,7.2
"M",2.2,7.6
"M",2.2,7.9
"M",2.2,8.5
"M",2.2,9.1
"M",2.2,9.6
"M",2.2,9.6
"M",2.2,10.7
"M",2.3,9.6
"M",2.4,7.3
"M",2.4,7.9
"M",2.4,7.9
"M",2.4,9.1
"M",2.4,9.3
"M",2.5,7.9
"M",2.5,8.6
"M",2.5,8.8
"M",2.5,8.8
"M",2.5,9.3
"M",2.5,11
"M",2.5,12.7
"M",2.5,12.7
"M",2.6,7.7
"M",2.6,8.3
"M",2.6,9.4
"M",2.6,9.4
"M",2.6,10.5
"M",2.6,11.5
"M",2.7,8
"M",2.7,9
"M",2.7,9.6
"M",2.7,9.6
"M",2.7,9.8
"M",2.7,10.4
"M",2.7,11.1
"M",2.7,12
"M",2.7,12.5
"M",2.8,9.1
"M",2.8,10
"M",2.8,10.2
"M",2.8,11.4
"M",2.8,12
"M",2.8,13.3
"M",2.8,13.5
"M",2.9,9.4
"M",2.9,10.1
"M",2.9,10.6
"M",2.9,11.3
"M",2.9,11.8
"M",3,10
"M",3,10.4
"M",3,10.6
"M",3,11.6
"M",3,12.2
"M",3,12.4
"M",3,12.7
"M",3,13.3
"M",3,13.8
"M",3.1,9.9
"M",3.1,11.5
"M",3.1,12.1
"M",3.1,12.5
"M",3.1,13
"M",3.1,14.3
"M",3.2,11.6
"M",3.2,11.9
"M",3.2,12.3
"M",3.2,13
"M",3.2,13.5
"M",3.2,13.6
"M",3.3,11.5
"M",3.3,12
"M",3.3,14.1
"M",3.3,14.9
"M",3.3,15.4
"M",3.4,11.2
"M",3.4,12.2
"M",3.4,12.4
"M",3.4,12.8
"M",3.4,14.4
"M",3.5,11.7
"M",3.5,12.9
"M",3.5,15.6
"M",3.5,15.7
"M",3.5,17.2
"M",3.6,11.8
"M",3.6,13.3
"M",3.6,14.8
"M",3.6,15
"M",3.7,11
"M",3.8,14.8
"M",3.8,16.8
"M",3.9,14.4
"M",3.9,20.5
